NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDOA	62	0.34113943576812744	0.08298847	Yes	
row_1	RTN3	67	0.3294714391231537	0.22004217	Yes	
row_2	SPARCL1	80	0.289114385843277	0.33166254	Yes	
row_3	UBC	156	0.20443236827850342	0.34285513	Yes	
row_4	SORBS1	174	0.1884598433971405	0.4062691	Yes	
row_5	YWHAG	267	0.14418724179267883	0.37434444	No	
row_6	UQCRQ	367	0.11090197414159775	0.32103392	No	
row_7	APLP2	373	0.10987051576375961	0.36300462	No	
row_8	SNCG	441	0.0957171842455864	0.33577636	No	
row_9	CHCHD10	442	0.09534844756126404	0.37661827	No	
row_10	GHITM	490	0.08678334951400757	0.36592987	No	
row_11	SOD1	634	0.06635165959596634	0.24873	No	
row_12	NDUFB7	642	0.06464636325836182	0.26929256	No	
row_13	REEP5	650	0.06335585564374924	0.28930232	No	
row_14	UQCR10	696	0.055211108177900314	0.2671268	No	
row_15	G3BP2	716	0.051844965666532516	0.269986	No	
row_16	RNF11	880	0.02221221849322319	0.11351268	No	
row_17	GPX4	912	0.0155250895768404	0.088594526	No	
